,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
log_lik[6166],-3.75143,0.0222081,0.98536,0.63327,-5.8015,-3.40271,-2.91449,2148.61,1797.88,1.00105
log_lik[6167],-3.85249,0.0262717,1.19416,1.04102,-6.06608,-3.54301,-2.62785,2580.7,1729.81,0.999641
log_lik[6168],-3.76194,0.0166875,0.661837,0.269114,-5.09508,-3.48975,-3.27807,1551.82,1828.37,1.00024
log_lik[6169],-4.14377,0.0175862,0.680268,0.300694,-5.48024,-3.8821,-3.63604,1484.17,1795.18,1.00017
log_lik[6170],-4.21957,0.0164827,0.65534,0.298425,-5.58931,-3.95527,-3.72128,1619.23,1609.9,1.00045
log_lik[6171],-4.58696,0.0176221,0.717668,0.310227,-6.01067,-4.32043,-4.06892,1869.61,1782.24,0.99997
log_lik[6172],-4.58928,0.0183474,0.680526,0.316706,-5.92057,-4.33378,-4.07647,1644.5,1601.56,0.999441
log_lik[6173],-4.67211,0.019121,0.73074,0.343185,-6.1034,-4.40025,-4.12361,1567.97,1649.13,1.00074
log_lik[6174],-4.38324,0.0176989,0.66245,0.288944,-5.67879,-4.13286,-3.89637,1600.49,1533.42,0.999363
log_lik[6175],-4.38835,0.0193865,0.692109,0.291361,-5.76956,-4.11526,-3.88335,1434.37,1772.96,1.00094
log_lik[6176],-4.30332,0.0208982,0.650159,0.280923,-5.66574,-4.04246,-3.81913,1249.78,1396.82,1.00532
log_lik[6177],-4.23076,0.0165649,0.670788,0.295616,-5.51417,-3.97035,-3.73373,1697.3,1945.81,1.00141
log_lik[6178],-3.94389,0.017332,0.682526,0.287558,-5.26999,-3.69228,-3.45743,1693.44,1636.79,1.00001
log_lik[6179],-3.37307,0.0146627,0.521739,0.248165,-4.42939,-3.18006,-2.97388,1372.45,1624.66,1.00295
log_lik[6180],-2.88677,0.0147448,0.624297,0.30294,-4.20485,-2.64536,-2.40225,2033.44,1754.1,1.00157
log_lik[6181],-2.53604,0.0116328,0.379555,0.179951,-3.34324,-2.40041,-2.2437,1240.75,1320.98,0.999534
log_lik[6182],-2.1879,0.00896202,0.387711,0.177186,-2.96537,-2.0425,-1.88774,1864.04,2012.35,0.999585
log_lik[6183],-1.36785,0.00154238,0.108131,0.10267,-1.56047,-1.36359,-1.19418,5126.16,1442.45,1.00597
log_lik[6184],-1.82837,0.0143321,0.710341,0.604797,-3.19564,-1.68405,-0.972056,2647.69,1717.97,1.00035
log_lik[6185],-1.93834,0.00606184,0.259411,0.149031,-2.45697,-1.84644,-1.71139,1922.98,1752.55,0.999337
log_lik[6186],-1.60543,0.00652231,0.269897,0.123286,-2.14763,-1.50834,-1.39208,1987.02,1684.49,1.00073
